transaction_id,timestamp,payment_channel,bank_name,amount,status,failure_reason,hour,day_of_month,month,day_of_week,is_failed,is_night_window,is_salary_window
TXN000046,2024-03-24 22:46:53,NEFT,SBI,8315.39,Failed,duplicate_txn,22,24,3,Sunday,1,1,0
TXN000047,2024-01-26 17:58:04,Wallet,Axis,14333.94,Success,none,17,26,1,Friday,0,0,0
TXN000048,2024-03-11 22:12:02,Wallet,Kotak,33127.38,Failed,network_failure,22,11,3,Monday,1,1,0
TXN000049,2024-01-29 19:22:45,UPI,SBI,29001.1,Failed,wrong_ifsc,19,29,1,Monday,1,0,1
TXN000050,2024-01-06 13:12:17,UPI,Axis,25192.23,Success,none,13,6,1,Saturday,0,0,0
TXN000051,2024-01-16 06:50:41,UPI,Kotak,4097.56,Failed,outside_neft_hours,6,16,1,Tuesday,1,0,0
TXN000052,2024-01-07 14:21:37,RTGS,HDFC,20248.4,Success,none,14,7,1,Sunday,0,0,0
TXN000053,2024-02-25 07:26:23,UPI,Kotak,2083.11,Failed,outside_neft_hours,7,25,2,Sunday,1,0,0
TXN000054,2024-02-24 21:04:27,NEFT,ICICI,10292.53,Success,none,21,24,2,Saturday,0,0,0
TXN000055,2024-01-24 04:10:42,UPI,HDFC,33617.34,Success,none,4,24,1,Wednesday,0,0,0
TXN000056,2024-01-31 16:44:46,Wallet,SBI,564.84,Success,none,16,31,1,Wednesday,0,0,1
TXN000057,2024-02-24 15:52:12,Wallet,SBI,26927.96,Success,none,15,24,2,Saturday,0,0,0
TXN000058,2024-01-13 20:38:46,Wallet,SBI,43975.59,Success,none,20,13,1,Saturday,0,0,0
TXN000059,2024-01-16 07:34:36,NEFT,Kotak,35206.64,Success,none,7,16,1,Tuesday,0,0,0
TXN000060,2024-03-19 08:40:45,RTGS,SBI,33426.37,Success,none,8,19,3,Tuesday,0,0,0
TXN000061,2024-03-05 09:48:27,UPI,HDFC,13296.85,Success,none,9,5,3,Tuesday,0,0,0
TXN000062,2024-03-13 01:57:22,NEFT,ICICI,14159.64,Failed,wrong_ifsc,1,13,3,Wednesday,1,1,0
TXN000063,2024-01-20 18:24:58,RTGS,ICICI,25319.91,Success,none,18,20,1,Saturday,0,0,0
TXN000064,2024-03-29 04:09:50,Card,SBI,31750.79,Success,none,4,29,3,Friday,0,0,1
TXN000065,2024-01-05 06:43:46,UPI,HDFC,31891.96,Success,none,6,5,1,Friday,0,0,0
TXN000066,2024-03-12 23:11:35,NEFT,Axis,28089.25,Failed,bank_server_timeout,23,12,3,Tuesday,1,1,0
TXN000067,2024-02-22 23:19:03,UPI,ICICI,29167.23,Failed,bank_server_timeout,23,22,2,Thursday,1,1,0
TXN000068,2024-01-05 01:28:05,UPI,SBI,44956.34,Failed,network_failure,1,5,1,Friday,1,1,0
TXN000069,2024-03-05 18:04:02,UPI,Kotak,44218.32,Success,none,18,5,3,Tuesday,0,0,0
TXN000070,2024-03-01 06:14:46,Card,HDFC,43243.82,Success,none,6,1,3,Friday,0,0,0
TXN000071,2024-03-19 17:14:06,UPI,Axis,1336.84,Success,none,17,19,3,Tuesday,0,0,0
TXN000072,2024-02-02 06:02:53,Card,Axis,40131.53,Success,none,6,2,2,Friday,0,0,0
TXN000073,2024-03-19 17:10:58,UPI,HDFC,39389.99,Failed,wrong_pin,17,19,3,Tuesday,1,0,0
TXN000074,2024-03-24 08:40:02,NEFT,HDFC,40847.67,Success,none,8,24,3,Sunday,0,0,0
TXN000075,2024-01-30 15:08:46,Card,HDFC,11223.89,Success,none,15,30,1,Tuesday,0,0,1
TXN000076,2024-02-08 16:29:34,UPI,SBI,48347.77,Success,none,16,8,2,Thursday,0,0,0
TXN000077,2024-03-03 06:45:38,NEFT,Kotak,16624.38,Failed,invalid_account,6,3,3,Sunday,1,0,0
TXN000078,2024-01-18 08:05:35,NEFT,ICICI,2009.03,Success,none,8,18,1,Thursday,0,0,0
TXN000079,2024-02-03 13:30:33,Card,ICICI,21876.05,Success,none,13,3,2,Saturday,0,0,0
TXN000080,2024-01-12 05:28:27,NEFT,Kotak,9584.93,Failed,duplicate_txn,5,12,1,Friday,1,0,0
TXN000081,2024-01-01 03:56:27,NEFT,Kotak,34374.17,Success,none,3,1,1,Monday,0,0,0
TXN000082,2024-03-12 13:25:20,RTGS,ICICI,21621.74,Success,none,13,12,3,Tuesday,0,0,0
TXN000083,2024-03-30 09:33:05,UPI,ICICI,33203.04,Failed,invalid_account,9,30,3,Saturday,1,0,1
TXN000084,2024-02-19 05:40:51,UPI,Axis,16376.53,Success,none,5,19,2,Monday,0,0,0
TXN000085,2024-02-23 19:52:28,UPI,Axis,33279.98,Success,none,19,23,2,Friday,0,0,0
TXN000086,2024-03-13 15:16:47,Wallet,Kotak,28498.35,Success,none,15,13,3,Wednesday,0,0,0
TXN000087,2024-03-21 22:43:13,UPI,ICICI,10588.12,Success,none,22,21,3,Thursday,0,1,0
TXN000088,2024-02-28 21:37:26,RTGS,Axis,22145.12,Success,none,21,28,2,Wednesday,0,0,1
TXN000089,2024-02-19 15:07:18,NEFT,HDFC,32976.65,Success,none,15,19,2,Monday,0,0,0
TXN000090,2024-03-05 10:53:29,RTGS,ICICI,4760.02,Success,none,10,5,3,Tuesday,0,0,0
TXN000091,2024-01-23 19:17:00,RTGS,HDFC,40347.49,Success,none,19,23,1,Tuesday,0,0,0
TXN000092,2024-01-05 11:41:08,UPI,Axis,30602.57,Success,none,11,5,1,Friday,0,0,0
TXN000093,2024-02-14 05:11:47,NEFT,Kotak,9802.32,Success,none,5,14,2,Wednesday,0,0,0
TXN000094,2024-02-17 23:58:56,NEFT,HDFC,32837.29,Failed,insufficient_funds,23,17,2,Saturday,1,1,0
TXN000095,2024-03-16 13:51:03,NEFT,HDFC,40225.08,Success,none,13,16,3,Saturday,0,0,0
TXN000096,2024-02-15 02:28:46,UPI,HDFC,45881.75,Failed,bank_server_timeout,2,15,2,Thursday,1,0,0
TXN000097,2024-03-18 19:26:09,NEFT,Kotak,49395.83,Success,none,19,18,3,Monday,0,0,0
TXN000098,2024-03-14 07:51:36,Card,Kotak,40768.82,Success,none,7,14,3,Thursday,0,0,0
TXN000099,2024-02-11 10:22:40,Card,Kotak,22351.09,Success,none,10,11,2,Sunday,0,0,0
TXN000100,2024-03-24 15:25:43,NEFT,ICICI,37613.66,Success,none,15,24,3,Sunday,0,0,0
TXN000101,2024-01-27 22:10:56,Card,Kotak,24281.39,Failed,account_blocked,22,27,1,Saturday,1,1,0
TXN000102,2024-01-08 12:32:57,Card,HDFC,13658.58,Success,none,12,8,1,Monday,0,0,0
TXN000103,2024-02-22 10:38:45,UPI,HDFC,11639.95,Success,none,10,22,2,Thursday,0,0,0
TXN000104,2024-03-09 14:04:33,UPI,Axis,20439.21,Success,none,14,9,3,Saturday,0,0,0
TXN000105,2024-02-10 08:49:27,UPI,Axis,19534.89,Success,none,8,10,2,Saturday,0,0,0
TXN000106,2024-03-08 12:41:09,UPI,Kotak,19081.01,Failed,wrong_ifsc,12,8,3,Friday,1,0,0
TXN000107,2024-01-29 23:49:04,Card,Axis,26957.21,Failed,outside_neft_hours,23,29,1,Monday,1,1,1
TXN000108,2024-03-28 04:03:07,UPI,HDFC,13719.47,Failed,duplicate_txn,4,28,3,Thursday,1,0,1
TXN000109,2024-02-02 15:14:18,RTGS,Axis,36236.65,Success,none,15,2,2,Friday,0,0,0
TXN000110,2024-03-30 06:41:14,UPI,Kotak,26752.77,Success,none,6,30,3,Saturday,0,0,1
TXN000111,2024-02-27 11:12:36,NEFT,SBI,4288.98,Success,none,11,27,2,Tuesday,0,0,0
TXN000112,2024-03-25 03:54:36,NEFT,SBI,13081.8,Success,none,3,25,3,Monday,0,0,0
TXN000113,2024-02-14 03:31:34,UPI,Axis,13985.01,Success,none,3,14,2,Wednesday,0,0,0
TXN000114,2024-02-10 22:19:02,UPI,SBI,23568.31,Success,none,22,10,2,Saturday,0,1,0
TXN000115,2024-01-06 01:22:05,Wallet,ICICI,11288.69,Failed,wrong_pin,1,6,1,Saturday,1,1,0
TXN000116,2024-03-14 05:29:26,UPI,HDFC,10048.1,Failed,bank_server_timeout,5,14,3,Thursday,1,0,0
TXN000117,2024-01-24 03:51:00,UPI,SBI,28242.08,Failed,invalid_account,3,24,1,Wednesday,1,0,0
TXN000118,2024-03-15 11:00:07,NEFT,Kotak,30401.65,Success,none,11,15,3,Friday,0,0,0
TXN000119,2024-01-12 02:52:51,Card,HDFC,48239.57,Failed,wrong_pin,2,12,1,Friday,1,0,0
TXN000120,2024-01-31 06:54:47,NEFT,Axis,19893.06,Success,none,6,31,1,Wednesday,0,0,1
TXN000121,2024-01-08 09:05:04,NEFT,HDFC,5184.88,Success,none,9,8,1,Monday,0,0,0
TXN000122,2024-03-23 13:19:36,RTGS,SBI,39831.74,Success,none,13,23,3,Saturday,0,0,0
TXN000123,2024-01-04 23:41:52,UPI,Axis,33109.91,Failed,wrong_ifsc,23,4,1,Thursday,1,1,0
TXN000124,2024-01-02 05:28:53,Card,Axis,5366.39,Success,none,5,2,1,Tuesday,0,0,0
TXN000125,2024-03-02 17:01:14,Card,Axis,35394.7,Success,none,17,2,3,Saturday,0,0,0
TXN000126,2024-03-12 05:52:01,NEFT,ICICI,30834.03,Success,none,5,12,3,Tuesday,0,0,0
TXN000127,2024-03-16 05:02:43,NEFT,Axis,41304.16,Success,none,5,16,3,Saturday,0,0,0
TXN000128,2024-02-01 07:01:26,Card,SBI,14018.52,Success,none,7,1,2,Thursday,0,0,0
TXN000129,2024-03-13 20:44:11,NEFT,Kotak,33442.6,Success,none,20,13,3,Wednesday,0,0,0
TXN000130,2024-02-17 23:49:03,Card,HDFC,24428.74,Failed,invalid_account,23,17,2,Saturday,1,1,0
TXN000131,2024-02-03 01:02:49,UPI,Kotak,35089.07,Failed,wrong_pin,1,3,2,Saturday,1,1,0
TXN000132,2024-02-20 03:49:43,Wallet,SBI,12143.67,Success,none,3,20,2,Tuesday,0,0,0
TXN000133,2024-02-23 21:39:15,Card,Axis,32330.55,Success,none,21,23,2,Friday,0,0,0
TXN000134,2024-03-17 23:40:03,UPI,ICICI,11157.66,Success,none,23,17,3,Sunday,0,1,0
TXN000135,2024-01-30 17:30:42,RTGS,ICICI,23715.7,Success,none,17,30,1,Tuesday,0,0,1
TXN000136,2024-02-11 07:29:44,Wallet,Kotak,16606.49,Success,none,7,11,2,Sunday,0,0,0
TXN000137,2024-01-27 07:16:51,UPI,HDFC,6120.73,Failed,insufficient_funds,7,27,1,Saturday,1,0,0
TXN000138,2024-03-13 03:02:18,NEFT,HDFC,9657.89,Success,none,3,13,3,Wednesday,0,0,0
TXN000139,2024-01-27 20:17:26,Card,Kotak,29879.86,Success,none,20,27,1,Saturday,0,0,0
TXN000140,2024-03-21 20:09:52,UPI,HDFC,18107.97,Success,none,20,21,3,Thursday,0,0,0
TXN000141,2024-03-09 17:48:09,NEFT,ICICI,2371.23,Failed,invalid_account,17,9,3,Saturday,1,0,0
TXN000142,2024-03-08 17:06:01,Wallet,Axis,5219.12,Failed,invalid_account,17,8,3,Friday,1,0,0
TXN000143,2024-02-15 13:46:26,NEFT,ICICI,9299.75,Failed,account_blocked,13,15,2,Thursday,1,0,0
TXN000144,2024-01-12 01:50:32,Card,Axis,24638.15,Success,none,1,12,1,Friday,0,1,0
TXN000145,2024-03-07 15:32:48,UPI,HDFC,40575.99,Success,none,15,7,3,Thursday,0,0,0
TXN000146,2024-01-09 06:29:09,Wallet,SBI,27947.84,Success,none,6,9,1,Tuesday,0,0,0
TXN000147,2024-02-27 21:04:34,Card,HDFC,38807.11,Success,none,21,27,2,Tuesday,0,0,0
TXN000148,2024-03-29 04:58:07,NEFT,Kotak,49502.56,Success,none,4,29,3,Friday,0,0,1
TXN000149,2024-03-01 07:05:54,UPI,SBI,47384.75,Failed,network_failure,7,1,3,Friday,1,0,0
TXN000150,2024-01-26 16:40:12,RTGS,HDFC,12069.27,Success,none,16,26,1,Friday,0,0,0
TXN000151,2024-01-16 04:44:50,UPI,Axis,34499.62,Success,none,4,16,1,Tuesday,0,0,0
TXN000152,2024-01-04 04:03:22,UPI,ICICI,35179.08,Success,none,4,4,1,Thursday,0,0,0
TXN000153,2024-03-07 17:43:22,UPI,ICICI,39412.62,Success,none,17,7,3,Thursday,0,0,0
TXN000154,2024-03-05 04:40:05,Card,HDFC,21314.43,Success,none,4,5,3,Tuesday,0,0,0
TXN000155,2024-03-03 21:05:53,UPI,ICICI,41348.89,Failed,bank_server_timeout,21,3,3,Sunday,1,0,0
TXN000156,2024-03-17 22:57:30,UPI,Kotak,46067.51,Failed,account_blocked,22,17,3,Sunday,1,1,0
TXN000157,2024-03-07 20:44:09,UPI,Axis,47139.54,Success,none,20,7,3,Thursday,0,0,0
TXN000158,2024-02-17 22:37:34,NEFT,Kotak,2089.05,Success,none,22,17,2,Saturday,0,1,0
TXN000159,2024-02-01 07:03:49,RTGS,SBI,4657.21,Success,none,7,1,2,Thursday,0,0,0
TXN000160,2024-03-22 03:55:29,Card,Kotak,47544.24,Success,none,3,22,3,Friday,0,0,0
TXN000161,2024-03-06 06:31:46,Card,Kotak,2107.56,Success,none,6,6,3,Wednesday,0,0,0
TXN000162,2024-02-15 16:20:46,NEFT,Axis,45812.03,Success,none,16,15,2,Thursday,0,0,0
TXN000163,2024-02-26 19:55:00,NEFT,Axis,48455.86,Success,none,19,26,2,Monday,0,0,0
TXN000164,2024-02-09 15:31:12,UPI,SBI,42900.88,Success,none,15,9,2,Friday,0,0,0
TXN000165,2024-03-08 08:22:36,NEFT,Axis,40696.95,Success,none,8,8,3,Friday,0,0,0
TXN000166,2024-02-14 03:49:16,UPI,ICICI,16231.36,Success,none,3,14,2,Wednesday,0,0,0
TXN000167,2024-02-09 05:47:46,Card,SBI,32917.25,Success,none,5,9,2,Friday,0,0,0
TXN000168,2024-02-10 02:56:11,UPI,Kotak,18152.79,Success,none,2,10,2,Saturday,0,0,0
TXN000169,2024-03-01 17:18:28,NEFT,SBI,10257.56,Success,none,17,1,3,Friday,0,0,0
TXN000170,2024-01-28 23:09:23,NEFT,Axis,6159.16,Success,none,23,28,1,Sunday,0,1,1
TXN000171,2024-02-29 02:46:25,Card,HDFC,15606.43,Failed,duplicate_txn,2,29,2,Thursday,1,0,1
TXN000172,2024-01-10 01:11:35,UPI,SBI,23126.25,Failed,bank_server_timeout,1,10,1,Wednesday,1,1,0
TXN000173,2024-02-18 09:17:56,Wallet,ICICI,25492.71,Success,none,9,18,2,Sunday,0,0,0
TXN000174,2024-03-22 01:02:51,NEFT,Axis,12262.17,Success,none,1,22,3,Friday,0,1,0
TXN000175,2024-02-07 05:49:12,UPI,Kotak,25461.22,Success,none,5,7,2,Wednesday,0,0,0
TXN000176,2024-03-24 21:19:43,UPI,Axis,17059.77,Success,none,21,24,3,Sunday,0,0,0
TXN000177,2024-01-26 22:33:26,Card,ICICI,36329.94,Success,none,22,26,1,Friday,0,1,0
TXN000178,2024-02-26 07:19:09,Wallet,Axis,43276.5,Success,none,7,26,2,Monday,0,0,0
TXN000179,2024-02-17 00:35:50,UPI,Kotak,38167.35,Failed,wrong_ifsc,0,17,2,Saturday,1,1,0
TXN000180,2024-03-25 10:19:07,UPI,HDFC,28632.7,Success,none,10,25,3,Monday,0,0,0
TXN000181,2024-03-16 07:08:58,NEFT,ICICI,37260.79,Success,none,7,16,3,Saturday,0,0,0
TXN000182,2024-03-19 18:43:11,NEFT,HDFC,24816.9,Failed,fraud_blocked,18,19,3,Tuesday,1,0,0
TXN000183,2024-02-27 07:13:12,UPI,SBI,43722.1,Success,none,7,27,2,Tuesday,0,0,0
TXN000184,2024-02-21 01:33:17,Wallet,SBI,36149.95,Failed,bank_server_timeout,1,21,2,Wednesday,1,1,0
TXN000185,2024-01-08 06:21:44,NEFT,ICICI,16994.21,Success,none,6,8,1,Monday,0,0,0
TXN000186,2024-03-04 02:13:44,UPI,ICICI,42631.83,Success,none,2,4,3,Monday,0,0,0
TXN000187,2024-02-06 21:29:09,Wallet,Axis,43631.91,Failed,insufficient_funds,21,6,2,Tuesday,1,0,0
TXN000188,2024-01-23 19:03:15,RTGS,ICICI,49871.55,Success,none,19,23,1,Tuesday,0,0,0
TXN000189,2024-02-12 03:13:36,Wallet,SBI,22239.56,Success,none,3,12,2,Monday,0,0,0
TXN000190,2024-03-28 17:07:50,UPI,ICICI,39827.56,Failed,wrong_ifsc,17,28,3,Thursday,1,0,1
TXN000191,2024-02-11 19:34:22,UPI,Kotak,20661.38,Success,none,19,11,2,Sunday,0,0,0
TXN000192,2024-01-18 11:33:46,UPI,SBI,30513.64,Success,none,11,18,1,Thursday,0,0,0
TXN000193,2024-03-07 07:49:08,UPI,Kotak,7241.57,Success,none,7,7,3,Thursday,0,0,0
TXN000194,2024-01-25 15:48:36,NEFT,SBI,44955.54,Success,none,15,25,1,Thursday,0,0,0
TXN000195,2024-01-28 22:13:49,RTGS,HDFC,3785.71,Success,none,22,28,1,Sunday,0,1,1
TXN000196,2024-02-27 01:08:28,UPI,Axis,34546.64,Failed,invalid_account,1,27,2,Tuesday,1,1,0
TXN000197,2024-01-20 08:12:33,Wallet,Axis,5422.0,Success,none,8,20,1,Saturday,0,0,0
TXN000198,2024-02-04 20:26:07,NEFT,ICICI,1194.79,Success,none,20,4,2,Sunday,0,0,0
TXN000199,2024-02-08 10:17:39,UPI,Kotak,43266.86,Success,none,10,8,2,Thursday,0,0,0
TXN000200,2024-01-05 18:16:52,Wallet,Axis,41658.66,Success,none,18,5,1,Friday,0,0,0
TXN000201,2024-03-16 07:36:26,Card,Kotak,40116.4,Success,none,7,16,3,Saturday,0,0,0
TXN000202,2024-01-19 11:02:22,RTGS,HDFC,31449.58,Success,none,11,19,1,Friday,0,0,0
TXN000203,2024-03-03 18:04:58,UPI,Axis,1764.89,Success,none,18,3,3,Sunday,0,0,0
TXN000204,2024-01-13 18:12:42,UPI,ICICI,16403.28,Success,none,18,13,1,Saturday,0,0,0
TXN000205,2024-01-20 11:53:08,UPI,Kotak,43835.38,Success,none,11,20,1,Saturday,0,0,0
TXN000206,2024-02-18 17:15:59,Wallet,HDFC,12922.81,Success,none,17,18,2,Sunday,0,0,0
TXN000207,2024-02-16 18:47:12,Wallet,ICICI,37353.31,Success,none,18,16,2,Friday,0,0,0
TXN000208,2024-01-12 04:21:53,NEFT,SBI,7123.78,Success,none,4,12,1,Friday,0,0,0
TXN000209,2024-03-24 12:16:22,RTGS,Axis,48366.76,Success,none,12,24,3,Sunday,0,0,0
TXN000210,2024-02-05 12:19:03,UPI,Axis,794.54,Success,none,12,5,2,Monday,0,0,0
TXN000211,2024-02-14 03:43:41,NEFT,ICICI,29269.55,Success,none,3,14,2,Wednesday,0,0,0
TXN000212,2024-02-06 01:35:46,UPI,HDFC,23626.7,Failed,fraud_blocked,1,6,2,Tuesday,1,1,0
TXN000213,2024-02-01 20:18:36,Wallet,HDFC,32417.85,Success,none,20,1,2,Thursday,0,0,0
TXN000214,2024-02-15 01:49:18,Wallet,ICICI,32497.05,Failed,wrong_pin,1,15,2,Thursday,1,1,0
TXN000215,2024-01-04 14:42:37,UPI,Axis,5894.41,Success,none,14,4,1,Thursday,0,0,0
TXN000216,2024-02-22 04:34:27,UPI,Axis,18613.47,Success,none,4,22,2,Thursday,0,0,0
TXN000217,2024-03-08 14:55:31,Wallet,Axis,29408.28,Success,none,14,8,3,Friday,0,0,0
TXN000218,2024-03-26 23:09:49,NEFT,SBI,41701.28,Success,none,23,26,3,Tuesday,0,1,0
TXN000219,2024-01-28 03:50:30,UPI,ICICI,10941.76,Failed,network_failure,3,28,1,Sunday,1,0,1
TXN000220,2024-03-24 01:20:36,NEFT,ICICI,27268.85,Success,none,1,24,3,Sunday,0,1,0
TXN000221,2024-02-04 19:46:14,UPI,ICICI,9571.45,Failed,account_blocked,19,4,2,Sunday,1,0,0
TXN000222,2024-01-09 21:36:52,RTGS,Kotak,48557.56,Failed,wrong_ifsc,21,9,1,Tuesday,1,0,0
TXN000223,2024-01-24 15:33:23,Wallet,Kotak,10339.76,Success,none,15,24,1,Wednesday,0,0,0
TXN000224,2024-02-23 19:23:51,UPI,HDFC,40671.34,Success,none,19,23,2,Friday,0,0,0
TXN000225,2024-03-16 04:24:34,UPI,Kotak,241.49,Success,none,4,16,3,Saturday,0,0,0
TXN000226,2024-01-15 01:08:50,Wallet,Kotak,12607.64,Failed,wrong_pin,1,15,1,Monday,1,1,0
TXN000227,2024-01-13 19:07:25,UPI,HDFC,29483.76,Failed,invalid_account,19,13,1,Saturday,1,0,0
TXN000228,2024-01-06 02:05:54,UPI,Axis,26351.67,Success,none,2,6,1,Saturday,0,0,0
TXN000229,2024-02-16 05:44:00,NEFT,ICICI,25710.57,Success,none,5,16,2,Friday,0,0,0
TXN000230,2024-02-18 22:01:45,UPI,Kotak,2263.92,Success,none,22,18,2,Sunday,0,1,0
TXN000231,2024-03-25 04:12:42,RTGS,ICICI,22956.32,Success,none,4,25,3,Monday,0,0,0
TXN000232,2024-01-06 21:44:00,Wallet,Axis,21371.05,Failed,account_blocked,21,6,1,Saturday,1,0,0
TXN000233,2024-01-08 03:14:44,Card,ICICI,30454.04,Failed,invalid_account,3,8,1,Monday,1,0,0
TXN000234,2024-03-01 14:45:54,RTGS,Kotak,35636.42,Success,none,14,1,3,Friday,0,0,0
TXN000235,2024-02-28 00:01:26,NEFT,Axis,25327.0,Failed,insufficient_funds,0,28,2,Wednesday,1,1,1
TXN000236,2024-03-23 19:09:03,RTGS,Kotak,36069.91,Success,none,19,23,3,Saturday,0,0,0
TXN000237,2024-02-13 20:11:57,Card,Axis,17012.69,Success,none,20,13,2,Tuesday,0,0,0
TXN000238,2024-02-10 09:19:34,Card,ICICI,21395.52,Success,none,9,10,2,Saturday,0,0,0
TXN000239,2024-02-06 08:11:04,Wallet,Axis,3449.95,Success,none,8,6,2,Tuesday,0,0,0
TXN000240,2024-01-10 01:14:30,NEFT,ICICI,40607.29,Success,none,1,10,1,Wednesday,0,1,0
TXN000241,2024-02-26 22:33:45,Wallet,Kotak,16549.33,Failed,wrong_ifsc,22,26,2,Monday,1,1,0
TXN000242,2024-03-25 19:39:09,RTGS,Axis,43417.8,Success,none,19,25,3,Monday,0,0,0
TXN000243,2024-01-28 22:13:30,RTGS,ICICI,5269.67,Success,none,22,28,1,Sunday,0,1,1
TXN000244,2024-01-16 00:32:50,RTGS,HDFC,42379.01,Success,none,0,16,1,Tuesday,0,1,0
